time,mag_x,mag_y,mag_z
-3.073525,-7.28899336,19.2825222,-30.4460869
-3.063334,-6.89851189,19.2825222,-30.7843761
-3.053334,-7.02743149,19.6206551,-29.4309807
-3.043134,-6.76835108,18.2676525,-29.7695084
-3.033134,-7.02619123,17.9290714,-29.7690239
-3.022938,-7.15630579,18.6056404,-28.7541714
-3.012938,-7.02867222,19.6208115,-30.7843761
-3.002744,-7.15883303,18.6059418,-29.0929279
-2.992744,-7.15630579,19.2822094,-29.4307404
-2.982547,-7.02619123,18.6056404,-29.4307404
-2.972547,-7.15756893,17.9292183,-30.1075554
-2.962348,-7.28770685,18.2675056,-30.1075554
-2.952348,-6.89729404,18.605793,-30.1075554
-2.942154,-6.76835108,18.2676525,-31.4609566
-2.932154,-7.02743149,18.605793,-30.1075554
-2.921957,-6.89729404,19.2823677,-29.769268
-2.911957,-7.02743149,18.2675056,-29.769268
-2.901758,-7.41915417,17.9293633,-30.1077976
-2.891758,-7.28770685,19.2823677,-29.769268
-2.881567,-7.02991343,18.6060944,-30.1080437
-2.871567,-7.15756893,17.9292183,-29.769268
-2.861367,-6.89729404,17.5909309,-30.7841301
-2.851367,-7.15883303,18.6059418,-29.7695084
-2.841168,-7.28770685,18.605793,-30.4458427
-2.831168,-7.28770685,19.2823677,-29.4309807
-2.820971,-7.28642035,17.9290714,-30.4455929
-2.810971,-7.28642035,17.9290714,-30.1073093
-2.800771,-6.8960762,18.943924,-30.4455929
-2.790771,-7.4178443,18.9440804,-30.1075554
-2.780575,-7.02743149,18.605793,-29.769268
-2.770575,-6.89729404,18.9440804,-30.1075554
-2.760375,-7.28642035,18.943924,-30.4455929
-2.750375,-6.89729404,17.9292183,-30.4458427
-2.740188,-7.28770685,18.9440804,-30.4458427
-2.730188,-7.15756893,19.2823677,-30.4458427
-2.719988,-7.15630579,17.2525024,-29.4307404
-2.709988,-7.02743149,19.2823677,-30.1075554
-2.699791,-7.15756893,18.605793,-30.4458427
-2.689791,-7.15756893,19.2823677,-29.769268
-2.679598,-6.8960762,19.2822094,-30.1073093
-2.669598,-7.28770685,18.9440804,-30.4458427
-2.659398,-7.02743149,18.2675056,-30.4458427
-2.649398,-7.02619123,18.6056404,-30.4455929
-2.639201,-7.28642035,19.6204929,-29.4307404
-2.629201,-7.02743149,18.9440804,-29.769268
-2.619008,-6.89729404,18.9440804,-29.769268
-2.609008,-7.02743149,18.605793,-29.769268
-2.598802,-6.76715612,18.605793,-30.4458427
-2.588802,-6.89851189,19.2825222,-29.4312172
-2.578608,-7.15756893,18.9440804,-29.4309807
-2.568608,-6.76596165,19.2822094,-29.7690239
-2.558418,-7.02743149,18.2675056,-29.4309807
-2.548418,-6.76715612,18.605793,-30.1075554
-2.538218,-6.76835108,18.9442329,-30.1077976
-2.528218,-6.63584709,19.6204929,-29.7690239
-2.518022,-7.28770685,18.2675056,-29.769268
-2.508022,-7.02867222,18.2676525,-29.7695084
-2.497828,-7.16009665,18.6060944,-29.7697506
-2.487828,-7.02743149,18.9440804,-30.1075554
-2.477628,-7.4165349,18.6056404,-30.7838783
-2.467628,-7.02495098,18.9437714,-30.1070652
-2.457432,-7.15756893,19.2823677,-29.4309807
-2.447432,-6.63819075,18.9442329,-29.4312172
-2.437232,-7.4178443,18.2675056,-29.769268
-2.427232,-7.15756893,19.2823677,-29.0926952
-2.417038,-6.89729404,18.2675056,-30.4458427
-2.407038,-7.02743149,18.2675056,-30.4458427
-2.396842,-6.76715612,19.2823677,-29.0926952
-2.386842,-7.15883303,18.2676525,-30.1077976
-2.376642,-7.15756893,19.2823677,-29.769268
-2.366642,-6.89729404,18.2675056,-30.4458427
-2.356448,-7.02743149,19.6206551,-29.769268
-2.346448,-7.29028034,18.2678013,-29.4314594
-2.336252,-6.89729404,18.605793,-29.4309807
-2.326252,-7.02743149,17.9292183,-29.4309807
-2.316052,-7.02743149,18.605793,-30.1075554
-2.306052,-7.02619123,17.9290714,-30.1073093
-2.295858,-7.28899336,17.9293633,-29.7695084
-2.285858,-7.02743149,18.9440804,-29.4309807
-2.275662,-7.02743149,19.6206551,-29.769268
-2.265662,-6.63701868,18.605793,-29.4309807
-2.255462,-7.02867222,19.2825222,-30.1077976
-2.245462,-7.41522598,19.282053,-29.7687836
-2.235262,-6.63701868,18.9440804,-29.0926952
-2.225069,-6.8960762,18.2673569,-29.4307404
-2.215069,-7.02619123,19.2822094,-30.4455929
-2.204872,-6.8960762,19.6204929,-29.7690239
-2.194872,-7.28770685,18.605793,-30.1075554
-2.184676,-7.15630579,17.9290714,-29.4307404
-2.174676,-7.02619123,18.2673569,-30.4455929
-2.164482,-7.28899336,18.6059418,-29.7695084
-2.154482,-7.02619123,18.2673569,-29.7690239
-2.144282,-7.15504265,19.282053,-30.4453468
-2.134282,-7.15377998,18.6053371,-29.4302616
-2.124083,-7.4165349,17.9290714,-29.7690239
-2.114083,-7.02495098,17.2523632,-30.4453468
-2.103892,-7.15630579,18.6056404,-30.4455929
-2.093892,-7.28513432,18.6054897,-30.1070652
-2.083686,-7.15377998,19.2818947,-29.7685394
-2.073686,-7.02619123,18.943924,-29.0924568
-2.063496,-7.15504265,18.6054897,-30.4453468
-2.053496,-7.15504265,18.9437714,-29.7687836
-2.043302,-7.02495098,19.6203346,-29.7687836
-2.033302,-6.8960762,18.943924,-30.4455929
-2.023102,-7.02495098,17.9289265,-29.7687836
-2.013102,-6.76357412,17.9287796,-30.1068192
-2.002903,-7.02619123,18.6056404,-29.7690239
-1.992903,-7.28513432,18.6054897,-30.4453468
-1.982712,-7.28513432,18.6054897,-30.4453468
-1.972712,-6.76357412,19.2818947,-30.1068192
-1.962512,-6.8960762,19.2822094,-31.1221619
-1.952512,-7.02495098,19.282053,-29.7687836
-1.942313,-6.89485931,18.6054897,-29.7687836
-1.932313,-6.89485931,17.9289265,-29.7687836
-1.922122,-7.02495098,17.9289265,-30.7836285
-1.912122,-7.41391754,18.6053371,-30.445097
-1.901922,-7.15377998,18.6053371,-30.1068192
-1.891922,-7.28384876,19.2818947,-30.1068192
-1.881726,-7.15504265,18.6054897,-29.7687836
-1.871726,-6.76715612,18.605793,-29.769268
-1.861532,-7.15630579,18.943924,-28.7541714
-1.851532,-7.02495098,17.5906448,-29.4305019
-1.841332,-7.28384876,17.9287796,-29.7685394
-1.831332,-7.15504265,19.282053,-29.4305019
-1.821136,-7.28770685,18.605793,-30.1075554
-1.811136,-7.28513432,18.2672081,-30.1070652
-1.800939,-7.28513432,18.2672081,-30.1070652
-1.790939,-6.76596165,18.6056404,-30.1073093
-1.780739,-6.89485931,18.9437714,-30.1070652
-1.770739,-7.02619123,19.2822094,-30.1073093
-1.76054,-7.15504265,18.9437714,-30.1070652
-1.75054,-7.15504265,18.2672081,-29.7687836
-1.740352,-7.28513432,18.9437714,-28.7539387
-1.730352,-6.76476765,17.9289265,-30.4453468
-1.720156,-6.76476765,18.6054897,-30.1070652
-1.710156,-6.76596165,18.943924,-29.4307404
-1.699956,-7.02619123,18.6056404,-30.1073093
-1.689956,-7.02743149,19.6206551,-30.4458427
-1.679756,-6.76835108,18.2676525,-29.4312172
-1.669756,-7.4165349,18.2673569,-30.4455929
-1.659563,-7.15504265,18.9437714,-29.4305019
-1.649563,-6.63350534,18.6053371,-30.1068192
-1.639366,-7.16009665,19.6209717,-30.7846298
-1.629366,-6.8960762,18.943924,-29.7690239
-1.619166,-6.89485931,18.6054897,-29.4305019
-1.609166,-7.02619123,18.6056404,-29.7690239
-1.598976,-7.15504265,18.2672081,-30.1070652
-1.588976,-7.02619123,19.2822094,-29.7690239
-1.578776,-7.02619123,17.9290714,-30.7838783
-1.568776,-7.02619123,18.943924,-29.7690239
-1.558576,-7.41391754,18.6053371,-29.7685394
-1.548576,-7.54664946,18.6056404,-29.7690239
-1.538386,-7.15630579,18.943924,-30.4455929
-1.528386,-7.28513432,18.2672081,-29.7687836
-1.518186,-7.02495098,18.6054897,-30.1070652
-1.508186,-6.63467598,19.282053,-30.1070652
-1.497986,-7.15377998,18.9436169,-29.4302616
-1.487986,-6.89485931,18.9437714,-29.4305019
-1.477796,-6.76357412,18.9436169,-29.4302616
-1.467796,-7.02743149,19.2823677,-30.4458427
-1.457596,-7.15630579,18.943924,-30.4455929
-1.447596,-7.02619123,18.6056404,-30.1073093
-1.437397,-6.8960762,18.943924,-30.4455929
-1.427397,-7.28642035,18.943924,-30.4455929
-1.417206,-7.02743149,18.9440804,-29.769268
