time,dynamic_pressure,airspeed,airspeed_calibrated
-0.115331,-65.2696609,6.78378153,10.6028700317541+0i
-0.091523,-123.285286,10.6286182,14.5671309293096+0i
-0.067523,-94.2930984,14.6087227,12.7416476372952+0i
-0.043514,-65.2696609,12.7763796,10.5996480690994+0i
-0.01952,-171.644653,10.6302528,17.1870984302857+0i
0.004654,-161.964966,17.2385483,16.6982506351814+0i
0.02848,-113.613411,16.7464542,13.985146486254+0i
0.05248,-452.074341,14.0257673,27.8679479123988+0i
0.076846,-84.6134109,27.9786777,12.0794022383313+0i
0.100477,-423.066528,12.1038933,26.9736173617557+0i
0.124642,-403.722778,27.0666714,26.3624928295207+0i
0.14848,-461.738403,26.4396076,28.1850507110789+0i
0.17249,-548.769653,28.276413,30.7121956795859+0i
0.196846,-616.449341,30.8273106,32.5591464539071+0i
0.22048,-674.480591,32.6741829,34.0522268633709+0i
0.244654,-771.168091,34.1775398,36.4015860220963+0i
0.268483,-916.214966,36.5472717,39.6647654298686+0i
0.292483,-1003.25403,39.837162,41.4970654916525+0i
0.316563,-1090.28528,41.6878586,43.2685821989866+0i
0.340483,-1167.63684,43.4604225,44.7702767713933+0i
0.364688,-1264.33997,44.977562,46.5690645665141+0i
0.38848,-1438.40247,46.8056946,49.6659371317526+0i
0.412483,-1699.4884,49.9255791,53.9676792990006+0i
0.436983,-1805.84778,54.2688522,55.6286257777538+0i
0.460483,-1931.5509,55.9455528,57.5114425846878+0i
0.48466,-2057.26978,57.8629417,59.3423025578167+0i
0.508483,-2270.01196,59.7162819,62.3147881763229+0i
0.532483,-2405.38696,62.7353134,64.1330076625069+0i
0.55649,-2666.4729,64.580101,67.5104955499446+0i
0.580483,-2830.86353,67.9987183,69.5317149689632+0i
0.604654,-3091.94946,70.0634689,72.641862799266+0i
0.628483,-3324.01196,73.2296524,75.2977969608359+0i
0.652486,-3614.12134,75.9328461,78.4803213915846+0i
0.676849,-3884.88696,79.1782608,81.3275934606301+0i
0.700483,-4087.95728,82.0996857,83.4135199399974+0i
0.724657,-4465.08203,84.2188797,87.1296212481128+0i
0.748483,-4571.44141,88.0235443,88.1528024336+0i
0.772483,-4996.91797,89.0700073,92.1055971078999+0i
0.796846,-5219.31641,93.1283569,94.0994587602156+0i
0.820483,-5490.08203,95.1862793,96.464112159305+0i
0.844645,-5828.53516,97.6278687,99.3498014433623+0i
0.868483,-6021.92578,100.598175,100.972992133832+0i
0.892483,-6254.00391,102.271614,102.866658920671+0i
0.916496,-6679.48047,104.226196,106.234351423499+0i
0.940486,-6988.91797,107.727547,108.62086896124+0i
0.964657,-7308.02734,110.194618,111.029188782585+0i
0.988486,-7646.47266,112.697159,113.514859180274+0i
1.012496,-8081.62109,115.2864,116.629824253404+0i
1.036941,-8478.07422,118.528976,119.381865970029+0i
1.060486,-8777.83984,121.4142,121.423607631852+0i
1.084675,-9125.96484,123.547646,123.759925699907+0i
1.108486,-9532.09766,125.982384,126.381849885404+0i
1.132486,-9880.21484,128.76239,128.613226536616+0i
1.156849,-10315.3633,131.106583,131.340232857631+0i
1.180486,-10760.1836,133.974213,134.055525906477+0i
1.204648,-11292.0195,136.844589,137.214461588862+0i
1.228486,-11678.8164,140.198608,139.488232148924+0i
1.252486,-12162.3086,142.606552,142.234570781082+0i
1.276855,-12810.1914,145.53743,145.851177127539+0i
1.300486,-13167.9805,149.388657,147.816051926236+0i
1.324657,-13873.8789,151.46051,151.555505834423+0i
1.348486,-14328.3711,155.501038,153.94280366811+0i
1.37249,-14869.8867,158.047562,156.691111095769+0i
1.396849,-15614.4727,161.019516,160.392793687391+0i
1.42049,-16068.9492,165.031921,162.625757109324+0i
1.44466,-16610.4648,167.429352,165.232615949579+0i
1.46849,-17277.6836,170.254303,168.372225481222+0i
1.49249,-17809.5352,173.656174,170.810489234274+0i
1.516849,-18428.4023,176.332352,173.628918403498+0i
1.540486,-18998.9336,179.397232,176.181399077017+0i
1.564648,-19550.1133,182.167038,178.565412243602+0i
1.588486,-20168.9805,184.808075,181.240391077635+0i
1.61249,-20778.1836,187.752884,183.809037242386+0i
1.63659,-21368.0586,190.586868,186.253120716471+0i
1.66049,-22054.6211,193.296921,189.041644514536+0i
1.684739,-22596.1289,196.377716,191.250327738826+0i
1.70849,-23224.6758,198.819107,193.752665831994+0i
1.73249,-23804.8633,201.57785,196.014609289362+0i
1.756535,-24520.4414,204.116272,198.780046059047+0i
1.780493,-25197.332,207.181229,201.310798970683+0i
1.804663,-25777.5195,210.046661,203.452377614042+0i
1.82849,-26522.1133,212.484634,206.19069285539+0i
1.852493,-27295.6992,215.553406,209.009474682096+0i
1.876852,-27972.5977,218.719116,211.44413012604+0i
1.90049,-28688.1602,221.4702,213.909621629205+0i
1.924688,-29374.7305,224.308014,216.273145715774+0i
1.948493,-30138.6523,227.009537,218.873258368741+0i
1.972493,-31202.332,230.023346,222.39973420161+0i
1.996858,-32024.2773,234.074554,225.10386668578+0i
