time,pressure
8.110528,80717.7812
8.137381,80632.6641
8.158528,80578.4688
8.182528,80616.625
8.206528,80545.8906
8.230528,80442.4688
8.254842,80382.8203
8.278531,80375.2969
8.302528,80315.8984
8.326528,80249.3672
8.350528,80191.5625
8.376668,80152.3594
8.398531,80091.375
8.422528,80092.8672
8.446528,80015.75
8.470528,79925.6406
8.496467,79921.1328
8.518531,79839.1875
8.542531,79807.8594
8.566531,79751.8047
8.590531,79798.9531
8.616531,79669.6328
8.638531,79622.3203
8.662531,79624.4844
8.686531,79565.5781
8.710531,79467.2969
8.735595,79421.5234
8.758534,79414.6953
8.782531,79319.0078
8.806531,79277.9062
8.830531,79244.0703
8.856918,79224.2266
8.878531,79146.0469
8.902531,79083.1172
8.926531,79098.1328
8.950534,79030.7891
8.977027,78991.0938
8.998534,78948.25
9.022534,78937.0312
9.046531,78822.9766
9.070534,78826.3359
9.097177,78767.4922
9.118534,78696.4531
9.142534,78711.0625
9.166541,78666.3828
9.190534,78564.2734
9.21519,78568.25
9.238534,78436.7891
9.262534,78484.7031
9.286534,78409.9141
9.310534,78401.6328
9.334848,78360.3594
9.358534,78290.1875
9.382534,78245.8281
9.406534,78229.9766
9.430538,78156.5469
9.454885,78152.875
9.478538,78111.8438
9.502538,78078.0078
9.526534,78030.9219
9.550538,77942.2969
9.576668,77928.7891
9.598538,77887.25
9.622538,77848.8594
9.646534,77792.4531
9.670538,77825.9609
9.69654,77691.4297
9.718541,77680.1719
9.742538,77647.8203
9.766538,77591.7344
9.790541,77561.6797
9.815287,77578.3438
9.838538,77479.2969
9.862538,77410.7891
9.886538,77411.8984
9.910538,77366.5469
9.936607,77309.8125
9.958541,77288.8125
9.982541,77260.5234
10.006541,77209.1641
10.030538,77179.3516
10.056418,77100.6875
10.078541,77096.7578
10.102541,77042.0625
10.126541,77057.5
10.150541,77003.7891
10.176988,76942.0781
10.198541,76907.2188
10.222541,76910.0234
10.246541,76869.2891
10.270541,76753.7578
10.296671,76761.6016
10.318544,76721.1406
10.342541,76700.9531
10.366541,76718.1094
10.390541,76637.25
10.416985,76587.8125
10.438544,76562.6328
10.462544,76525.0469
10.486544,76527.7109
10.510544,76482.4375
10.537433,76412.0859
10.558544,76354.0703
10.582541,76396.5703
10.606541,76271.5859
10.630544,76274.4219
10.656628,76265.4766
10.678544,76237.7812
10.702544,76191.0078
10.726544,76156.8906
10.750544,76082.5469
10.776689,76087.8984
10.798544,76024.625
10.822544,76021.4609
10.846544,75971.3438
10.870544,75923.4531
10.896991,75875.6562
10.918547,75873.2656
10.942547,75823.2031
10.966544,75811.625
10.990544,75724.7891
11.016671,75752.2188
11.038544,75726.3516
11.062544,75670.5703
11.086547,75622.3984
11.110547,75588.1953
11.136052,75586.4922
11.158547,75545.5391
11.182547,75493.5625
11.206547,75472.7969
11.230544,75471.7578
11.256387,75380.9062
11.278547,75358.2031
11.302547,75307.125
11.326547,75318.1953
11.350547,75286.9766
11.376985,75262.7109
11.39855,75234.2578
11.422547,75191.9688
11.446547,75167.1562
11.470547,75143.2109
11.495214,75092.0859
11.518547,75089.5234
11.542547,75030.375
11.56655,75031.9609
11.59055,74986.6484
11.615214,74938.9844
11.63855,74932.0547
11.66255,74890.8281
11.68655,74856.9922
11.710547,74846.2266
11.735546,74782.125
11.75855,74760.7734
11.78255,74759.7031
11.80655,74723.3281
11.83055,74703.3438
11.85664,74643.3359
11.878553,74617.625
11.902556,74593.6484
11.92655,74587.8984
11.95055,74551.2969
11.976695,74476.8281
11.99855,74486.7266
12.02255,74428.1875
12.04655,74411.6562
12.070553,74388.125
12.096988,74364.25
12.118553,74326.7344
12.142553,74293.0781
12.166553,74268.6875
12.190553,74244.7734
12.216631,74211.7969
12.238553,74182.9141
12.262553,74136.0781
12.286553,74129.1875
12.310553,74092.5156
12.3365,74072.5312
12.358553,74062.4453
12.382553,74030.1641
12.406553,73987.6875
12.430553,73949.2422
12.456384,73942.7812
12.478553,73924.3047
12.502553,73905.2188
12.526553,73863.4062
12.550553,73811.3672
12.577149,73795.1406
12.598556,73789.7969
12.622556,73753.2109
12.646556,73733.2188
12.670553,73714.0703
12.695223,73681.3203
12.718556,73661.5312
12.742556,73628.7578
12.766556,73622.5781
12.790556,73572.3281
12.816491,73551.6562
12.838556,73541.5469
12.862556,73500.1797
12.886556,73475.4141
12.910556,73446.9297
12.935498,73427.3438
12.958559,73403.6641
12.982556,73370.7031
13.006556,73364.5234
13.030556,73327.8906
13.054873,73294.2812
13.078559,73269.8906
13.102559,73268.6641
13.126556,73223.2188
13.150556,73207.3203
13.176692,73174.7422
13.198556,73159.4844
13.222559,73136.0312
13.246559,73121.2422
13.270559,73079.6406
13.297085,73068.4844
13.318562,73045.2188
13.342559,73012.2891
13.366559,72997.0156
13.390559,72955.3828
13.41671,72948.7812
13.438559,72930.2812
13.462559,72911.1953
13.486559,72869.375
13.510559,72844.5938
13.536043,72843.3594
13.558562,72829.6797
13.582562,72765.4219
13.606568,72762.2109
13.630559,72730.2734
13.656951,72705.9766
13.678559,72691.1406
13.702562,72681.3203
13.726562,72649.0547
13.750562,72638.3516
13.777012,72592.4219
13.798562,72576.5078
13.822562,72553.0078
13.846562,72547.2891
13.870562,72510.6875
13.896692,72481.6172
13.918562,72452.9219
13.942562,72451.4922
13.966571,72419.6328
13.990571,72399.8828
14.017009,72367.1094
14.038565,72365.4766
14.062565,72342.6875
14.086562,72309.7656
14.110562,72294.5078
14.137439,72266.5078
14.158565,72265.1094
14.182565,72228.7188
14.206565,72222.3516
14.230565,72199.3359
14.254867,72175.4922
14.278565,72156.1328
14.302571,72118.8438
14.326568,72094.2891
14.350565,72102.1484
14.376704,72066.2109
14.398565,72055.3203
14.422565,72041.1719
14.446565,72017.7656
14.470565,71993.8906
14.49657,71969.9922
14.518565,71950.6406
14.542565,71940.5859
14.566565,71894.6875
14.590565,71896.9375
14.6165,71869.8125
14.638568,71859.3672
14.662568,71836.1406
14.686577,71798.6641
14.710568,71796.7969
14.735562,71774
14.758568,71759.2344
14.782568,71744.8828
14.806565,71716.9219
14.830568,71701.9062
14.856912,71687.5312
14.878568,71659.5703
14.902568,71644.5625
14.926568,71616.5703
14.950568,71624.25
14.977003,71583.7734
14.998568,71572.6719
15.022571,71553.9609
15.046571,71534.8516
15.070568,71520.2812
15.09671,71492.3125
15.118571,71477.2969
15.142571,71458.3906
15.166571,71439.2891
15.190571,71429.25
15.215238,71401.5078
15.238571,71386.4922
15.262571,71372.125
15.286568,71357.7891
15.310568,71334.375
15.334873,71315.0469
15.358571,71304.9844
15.382571,71290.875
15.406571,71258.3828
15.430571,71256.7578
15.454885,71224.8984
15.478571,71223.3047
15.502574,71195.9844
15.526571,71185.5312
15.550571,71171.4062
15.576717,71147.9922
15.598571,71128.6562
15.622574,71118.625
15.646571,71095.4141
15.670571,71080.6328
15.696988,71066.2734
15.718574,71051.9375
15.742574,71033.0703
15.766571,71018.4922
15.790574,71004.1484
15.815242,70976.1875
15.838574,70961.1641
15.862574,70942.2734
15.886574,70927.7031
15.910574,70917.8906
15.936653,70899.2344
15.958574,70889.2188
15.982574,70875.1016
16.006574,70851.7031
16.030574,70850.5312
16.05672,70818.6953
16.07858,70808.0234
16.102577,70802.9453
16.126574,70775.4453
16.150574,70755.9219
16.177079,70750.3984
16.198577,70736.5078
16.222574,70708.5703
16.246574,70702.6406
16.270574,70693.25
16.296717,70670.0859
16.318577,70650.7656
16.342577,70645.2656
16.366577,70626.8281
16.39058,70603.2031
16.417283,70602.0234
16.438577,70583.8047
16.46258,70560.1875
16.486577,70554.4688
16.510577,70536.0312
16.537439,70526.0312
16.558577,70511.8984
16.582577,70497.5703
16.606577,70478.7109
16.63058,70464.1328
16.656628,70436.1719
16.67858,70434.7734
16.702577,70421.0938
16.726577,70411.3203
16.75058,70406.2891
16.776662,70387.875
16.79858,70368.7969
16.82258,70358.7656
16.84658,70344.6484
16.87058,70325.7734
16.897027,70324.8281
16.91858,70302.0859
16.94258,70291.8594
16.96658,70268.6562
16.99058,70258.4141
17.016723,70248.8281
17.03858,70239.2734
17.062583,70234.25
17.08658,70211.2891
17.110583,70196.5234
17.136052,70186.7031
17.158583,70168.0625
